FILE,LABEL,VALUE
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AccountsReceivableNetCurrent
calculation,label,loc_us-gaap_AccountsReceivableNetCurrent_2107189c-f25f-5667-a3b4-dbf4394a5e32
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_bceb5e86-dcaf-e940-c004-d20dda9b81f2
calculation,to,loc_us-gaap_AccountsReceivableNetCurrent_2107189c-f25f-5667-a3b4-dbf4394a5e32
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_PrepaidExpenseAndOtherAssetsCurrent
calculation,label,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent_33b4d214-779b-2177-f7ba-19f0abb03b76
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_bceb5e86-dcaf-e940-c004-d20dda9b81f2
calculation,to,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent_33b4d214-779b-2177-f7ba-19f0abb03b76
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_PropertyPlantAndEquipmentNet
calculation,label,loc_us-gaap_PropertyPlantAndEquipmentNet_bf545d72-755b-f46c-4176-2eeaac0328d1
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_d88b9019-0bd3-d7de-96eb-5cd69c504c2c
calculation,to,loc_us-gaap_PropertyPlantAndEquipmentNet_bf545d72-755b-f46c-4176-2eeaac0328d1
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_IntangibleAssetsNetExcludingGoodwill
calculation,label,loc_us-gaap_IntangibleAssetsNetExcludingGoodwill_a63bfe00-8c71-75eb-c989-1230f0c1a19e
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_d88b9019-0bd3-d7de-96eb-5cd69c504c2c
calculation,to,loc_us-gaap_IntangibleAssetsNetExcludingGoodwill_a63bfe00-8c71-75eb-c989-1230f0c1a19e
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_Goodwill
calculation,label,loc_us-gaap_Goodwill_57088d99-3f43-6bbf-c330-0bf0e1b35b0b
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_d88b9019-0bd3-d7de-96eb-5cd69c504c2c
calculation,to,loc_us-gaap_Goodwill_57088d99-3f43-6bbf-c330-0bf0e1b35b0b
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OtherAssetsNoncurrent
calculation,label,loc_us-gaap_OtherAssetsNoncurrent_17a41c51-6fe7-c037-64c3-3ef6c9692a94
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_d88b9019-0bd3-d7de-96eb-5cd69c504c2c
calculation,to,loc_us-gaap_OtherAssetsNoncurrent_17a41c51-6fe7-c037-64c3-3ef6c9692a94
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OperatingLeaseRightOfUseAsset
calculation,label,loc_us-gaap_OperatingLeaseRightOfUseAsset_fe7a6688-63e6-c3a8-34a9-6a59f12ca16e
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,6
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_d88b9019-0bd3-d7de-96eb-5cd69c504c2c
calculation,to,loc_us-gaap_OperatingLeaseRightOfUseAsset_fe7a6688-63e6-c3a8-34a9-6a59f12ca16e
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_LiabilitiesAndStockholdersEquity
calculation,label,loc_us-gaap_LiabilitiesAndStockholdersEquity_ae7d1998-6654-2677-8e9f-f36b62210000
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_Liabilities
calculation,label,loc_us-gaap_Liabilities_a0e4a1b3-b018-392a-9b7d-09729b37d6a1
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_ae7d1998-6654-2677-8e9f-f36b62210000
calculation,to,loc_us-gaap_Liabilities_a0e4a1b3-b018-392a-9b7d-09729b37d6a1
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_LiabilitiesCurrent
calculation,label,loc_us-gaap_LiabilitiesCurrent_723c74a6-b3c0-ab21-b11a-8bd4ce4806f0
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_a0e4a1b3-b018-392a-9b7d-09729b37d6a1
calculation,to,loc_us-gaap_LiabilitiesCurrent_723c74a6-b3c0-ab21-b11a-8bd4ce4806f0
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AccountsPayableCurrent
calculation,label,loc_us-gaap_AccountsPayableCurrent_95fe5c6d-e90e-6d2c-8e9a-8339666be1b8
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_723c74a6-b3c0-ab21-b11a-8bd4ce4806f0
calculation,to,loc_us-gaap_AccountsPayableCurrent_95fe5c6d-e90e-6d2c-8e9a-8339666be1b8
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AccruedLiabilitiesCurrent
calculation,label,loc_us-gaap_AccruedLiabilitiesCurrent_4deaf78d-f730-176a-d6c6-47d6fc92ced8
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_723c74a6-b3c0-ab21-b11a-8bd4ce4806f0
calculation,to,loc_us-gaap_AccruedLiabilitiesCurrent_4deaf78d-f730-176a-d6c6-47d6fc92ced8
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_ContractWithCustomerLiabilityCurrent
calculation,label,loc_us-gaap_ContractWithCustomerLiabilityCurrent_9c3d7122-75d0-d4e2-bab1-85e33c60c552
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_723c74a6-b3c0-ab21-b11a-8bd4ce4806f0
calculation,to,loc_us-gaap_ContractWithCustomerLiabilityCurrent_9c3d7122-75d0-d4e2-bab1-85e33c60c552
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OperatingLeaseLiabilityCurrent
calculation,label,loc_us-gaap_OperatingLeaseLiabilityCurrent_f5d89653-9412-3469-28ee-c3579ebc0767
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_723c74a6-b3c0-ab21-b11a-8bd4ce4806f0
calculation,to,loc_us-gaap_OperatingLeaseLiabilityCurrent_f5d89653-9412-3469-28ee-c3579ebc0767
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AccountsPayableAndOtherAccruedLiabilitiesCurrent
calculation,label,loc_us-gaap_AccountsPayableAndOtherAccruedLiabilitiesCurrent_a3848a21-c878-d6aa-4314-d4f47369f75d
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_723c74a6-b3c0-ab21-b11a-8bd4ce4806f0
calculation,to,loc_us-gaap_AccountsPayableAndOtherAccruedLiabilitiesCurrent_a3848a21-c878-d6aa-4314-d4f47369f75d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OperatingLeaseLiabilityNoncurrent
calculation,label,loc_us-gaap_OperatingLeaseLiabilityNoncurrent_7098604a-0754-f0ec-28b7-b5aa73ca65d5
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_a0e4a1b3-b018-392a-9b7d-09729b37d6a1
calculation,to,loc_us-gaap_OperatingLeaseLiabilityNoncurrent_7098604a-0754-f0ec-28b7-b5aa73ca65d5
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OtherLiabilitiesNoncurrent
calculation,label,loc_us-gaap_OtherLiabilitiesNoncurrent_44e41183-ff71-8a5d-6bae-236dd27ab6c0
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_a0e4a1b3-b018-392a-9b7d-09729b37d6a1
calculation,to,loc_us-gaap_OtherLiabilitiesNoncurrent_44e41183-ff71-8a5d-6bae-236dd27ab6c0
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_StockholdersEquity
calculation,label,loc_us-gaap_StockholdersEquity_444cfce6-fc59-0d4d-1ade-0fdec3499b08
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_ae7d1998-6654-2677-8e9f-f36b62210000
calculation,to,loc_us-gaap_StockholdersEquity_444cfce6-fc59-0d4d-1ade-0fdec3499b08
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_CommonStockValue
calculation,label,loc_us-gaap_CommonStockValue_130b8997-2f7a-8192-a853-ff9fb4629d95
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_444cfce6-fc59-0d4d-1ade-0fdec3499b08
calculation,to,loc_us-gaap_CommonStockValue_130b8997-2f7a-8192-a853-ff9fb4629d95
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AdditionalPaidInCapital
calculation,label,loc_us-gaap_AdditionalPaidInCapital_26982214-e3a4-a834-1e73-cd58ba2d5ac9
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_444cfce6-fc59-0d4d-1ade-0fdec3499b08
calculation,to,loc_us-gaap_AdditionalPaidInCapital_26982214-e3a4-a834-1e73-cd58ba2d5ac9
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax
calculation,label,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_355fc088-038d-3905-0784-91db0d020a77
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_444cfce6-fc59-0d4d-1ade-0fdec3499b08
calculation,to,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_355fc088-038d-3905-0784-91db0d020a77
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_RetainedEarningsAccumulatedDeficit
calculation,label,loc_us-gaap_RetainedEarningsAccumulatedDeficit_18ff0284-4873-6ef0-806f-4fb76051c01f
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_444cfce6-fc59-0d4d-1ade-0fdec3499b08
calculation,to,loc_us-gaap_RetainedEarningsAccumulatedDeficit_18ff0284-4873-6ef0-806f-4fb76051c01f
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_CommitmentsAndContingencies
calculation,label,loc_us-gaap_CommitmentsAndContingencies_c8c1ef7d-82ef-ec40-66d0-45806fc53a6e
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_ae7d1998-6654-2677-8e9f-f36b62210000
calculation,to,loc_us-gaap_CommitmentsAndContingencies_c8c1ef7d-82ef-ec40-66d0-45806fc53a6e
calculation,type,arc
calculation,item_type,calculation_loc
